,in_id,query,answers_text,answers_count
0,10106.0,Что вы сможете использовать в своей работе?,"формулировать проблему, 5 поче",1.0
1,10106.0,Что вы сможете использовать в своей работе?,поиск потерь,1.0
2,10106.0,Что вы сможете использовать в своей работе?,правило 5 «почему» :),1.0
3,10106.0,Что вы сможете использовать в своей работе?,умение работать в команде,1.0
4,10106.0,Что вы сможете использовать в своей работе?,картирование и анализ,1.0
5,10106.0,Что вы сможете использовать в своей работе?,четкое формулирование проблемы,1.0
6,10106.0,Что вы сможете использовать в своей работе?,многон,1.0
7,10106.0,Что вы сможете использовать в своей работе?,методы выявления проблем,1.0
8,10106.0,Что вы сможете использовать в своей работе?,методы решения проблем,1.0
9,10106.0,Что вы сможете использовать в своей работе?,картирование,1.0
10,10106.0,Что вы сможете использовать в своей работе?,постановку проблемы и поиск р,1.0
11,10106.0,Что вы сможете использовать в своей работе?,поиск решения,1.0
12,10106.0,Что вы сможете использовать в своей работе?,способ «5 почему»,1.0
13,10106.0,Что вы сможете использовать в своей работе?,инструмент картирования,1.0
14,10106.0,Что вы сможете использовать в своей работе?,все,1.0
15,10106.0,Что вы сможете использовать в своей работе?,картирование,1.0
16,10106.0,Что вы сможете использовать в своей работе?,5с,1.0
17,10106.0,Что вы сможете использовать в своей работе?,картирование,1.0
18,10106.0,Что вы сможете использовать в своей работе?,находить проблему,1.0
19,10106.0,Что вы сможете использовать в своей работе?,да,1.0
0,10119.0,"Что для вас ""культура доверия"" в организации?",не боишься ошибиться,1.0
1,10119.0,"Что для вас ""культура доверия"" в организации?","говорят прямо, как есть",1.0
2,10119.0,"Что для вас ""культура доверия"" в организации?",можно показать слабость,1.0
3,10119.0,"Что для вас ""культура доверия"" в организации?",критика звучит,1.0
4,10119.0,"Что для вас ""культура доверия"" в организации?",люди не боятся спорить,1.0
5,10119.0,"Что для вас ""культура доверия"" в организации?",можно поговорить с любым,1.0
6,10119.0,"Что для вас ""культура доверия"" в организации?",не сомневаюсь в намерениях,1.0
7,10119.0,"Что для вас ""культура доверия"" в организации?",презумпция невиновности,1.0
8,10119.0,"Что для вас ""культура доверия"" в организации?",единая команда,1.0
9,10119.0,"Что для вас ""культура доверия"" в организации?",уважение,1.0
10,10119.0,"Что для вас ""культура доверия"" в организации?",можно не опасаться разгласки,1.0
11,10119.0,"Что для вас ""культура доверия"" в организации?",прозрачность в коммуникации,1.0
12,10119.0,"Что для вас ""культура доверия"" в организации?",возможность комфортно работать,1.0
13,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в коллегах,1.0
14,10119.0,"Что для вас ""культура доверия"" в организации?",возможность признать ошибку,1.0
15,10119.0,"Что для вас ""культура доверия"" в организации?",открытый обмен опытом,1.0
16,10119.0,"Что для вас ""культура доверия"" в организации?",открытая вертикаль общения,1.0
17,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто и доверите,1.0
18,10119.0,"Что для вас ""культура доверия"" в организации?",возможность сказать об ошибке,1.0
19,10119.0,"Что для вас ""культура доверия"" в организации?",предупреждение о кирпиче,1.0
20,10119.0,"Что для вас ""культура доверия"" в организации?",честная и полная инфо сверху,1.0
21,10119.0,"Что для вас ""культура доверия"" в организации?",благоприятная среда,1.0
22,10119.0,"Что для вас ""культура доверия"" в организации?",объединяющая взаимосвязь,1.0
23,10119.0,"Что для вас ""культура доверия"" в организации?",искренняя помощь,1.0
24,10119.0,"Что для вас ""культура доверия"" в организации?",открытость общении,1.0
25,10119.0,"Что для вас ""культура доверия"" в организации?",информирование своевременное,1.0
26,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0
27,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0
28,10119.0,"Что для вас ""культура доверия"" в организации?",легкое общение,1.0
29,10119.0,"Что для вас ""культура доверия"" в организации?",выполнение обещаний в срок,1.0
30,10119.0,"Что для вас ""культура доверия"" в организации?",свобода,1.0
31,10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказаться,1.0
32,10119.0,"Что для вас ""культура доверия"" в организации?","знать, что тебя не осудят",1.0
33,10119.0,"Что для вас ""культура доверия"" в организации?",честность и прозрачность,1.0
34,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие вранья в отношениях,1.0
35,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто общаться,1.0
36,10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0
37,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0
38,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность,1.0
39,10119.0,"Что для вас ""культура доверия"" в организации?",открытая обратная связь,1.0
40,10119.0,"Что для вас ""культура доверия"" в организации?",честность с руководством,1.0
41,10119.0,"Что для вас ""культура доверия"" в организации?",делиться переживаниями,1.0
42,10119.0,"Что для вас ""культура доверия"" в организации?",когда я могу открыто говорить,1.0
43,10119.0,"Что для вас ""культура доверия"" в организации?",можно обратиться,1.0
44,10119.0,"Что для вас ""культура доверия"" в организации?",можно быть услышанным,1.0
45,10119.0,"Что для вас ""культура доверия"" в организации?",можно без обиды отказать,1.0
46,10119.0,"Что для вас ""культура доверия"" в организации?",говорю об ошибках,1.0
47,10119.0,"Что для вас ""культура доверия"" в организации?",предлагаю свободно идеи,1.0
48,10119.0,"Что для вас ""культура доверия"" в организации?","все равны - и новый, и ""старый",1.0
49,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие двуличности,1.0
50,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лжи,1.0
51,10119.0,"Что для вас ""культура доверия"" в организации?",правда подтверждается фактами,1.0
52,10119.0,"Что для вас ""культура доверия"" в организации?",свобода слова,1.0
53,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лицемерия,1.0
54,10119.0,"Что для вас ""культура доверия"" в организации?",нет двойных стандартов,1.0
55,10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и получил,1.0
56,10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и сам решаешь,1.0
57,10119.0,"Что для вас ""культура доверия"" в организации?",открыто выражать мнение,1.0
58,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в искренности друг,1.0
59,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка и защита,1.0
60,10119.0,"Что для вас ""культура доверия"" в организации?",не бояться говорить что думаеш,1.0
61,10119.0,"Что для вас ""культура доверия"" в организации?",обратная связь без последствий,1.0
62,10119.0,"Что для вас ""культура доверия"" в организации?",открытость информации,1.0
