,index,in_id,query,answers_text,answers_count,answers_cluster,answers_sentiment,langdetect,langid
0,0,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",создание раб.групп для контрол,1.0,создание рабочих групп для контроля,neutrals,ru,ru
1,1,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",сократить дублирование,1.0,сократить дублирование,positives,ru,ru
2,2,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",травмы и работать над ней,1.0,травмы и работать над ней,negatives,ru,ru
3,3,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",убедить работника что его жиз,1.0,убедить работника что его жизнь,neutrals,ru,ru
4,4,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",улучшать качество работы,1.0,улучшать качество работы,positives,ru,ru
5,5,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",уменьшение бюрократии,1.0,уменьшение бюрократии,positives,ru,ru
6,6,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",упростить бюрократич. нагрузку,1.0,уменьшение бюрократии,positives,ru,ru
7,7,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",участие в жизни работника,1.0,участие в жизни работника,neutrals,ru,ru
8,8,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,топ менеджеры,1.0,топ менеджеры,neutrals,ru,ru
9,9,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,требования безопасности для р,1.0,требования безопасности для р,neutrals,ru,ru
10,10,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,увеличить численность от до,1.0,увеличить численность от до,neutrals,ru,ru
11,11,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,узконаправленная деятельность,1.0,узконаправленная деятельность,neutrals,ru,ru
12,12,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,умение выслушать,1.0,умение выслушать,positives,ru,ru
13,13,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,упростить закупки,1.0,упростить закупки,positives,ru,ru
14,14,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,участие лидеров в совещ. рук.,1.0,участие лидеров в совещаниях руководителей,neutrals,ru,ru
15,15,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,физическая,1.0,физическая,neutrals,ru,ru
16,16,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,эта поддержка уже есть,1.0,эта поддержка уже есть,positives,ru,ru
17,17,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,методическая,1.0,методическая,neutrals,ru,ru
18,18,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,методология,1.0,методическая,neutrals,ru,ru
19,19,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,тренинги,1.0,тренинги,neutrals,ru,ru
20,45,20397.0,What countries are major investors abroad?,kazakhstan,1.0,kazakhstan,neutrals,en,en
21,46,20397.0,What countries are major investors abroad?,netherlands,7.0,netherlands,neutrals,en,en
22,47,20397.0,What countries are major investors abroad?,qatar,6.0,qatar,neutrals,en,en
23,48,20397.0,What countries are major investors abroad?,quatar,1.0,qatar,neutrals,en,en
24,49,20397.0,What countries are major investors abroad?,russia,1.0,russia,neutrals,en,en
25,50,20397.0,What countries are major investors abroad?,uk,5.0,uk,neutrals,en,en
26,51,20397.0,What countries are major investors abroad?,vv,1.0,vv,neutrals,en,en
27,52,20397.0,What countries are major investors abroad?,ireland,1.0,ireland,neutrals,en,en
