,index,in_id,query,answers_text,answers_count,answers_cluster,answers_sentiment,langdetect,langid
0,0,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",создание раб.групп для контрол,1.0,создание рабочих групп для контроля,neutrals,ru,ru
1,1,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",сократить дублирование,1.0,сократить дублирование,positives,ru,ru
2,2,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",травмы и работать над ней,1.0,травмы и работать над ней,negatives,ru,ru
3,3,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",убедить работника что его жиз,1.0,убедить работника что его жизнь,neutrals,ru,ru
4,4,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",улучшать качество работы,1.0,улучшать качество работы,positives,ru,ru
5,5,19749.0,"Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?",уменьшение бюрократии,1.0,уменьшение бюрократии,positives,ru,ru
6,9,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,требования безопасности для р,1.0,требования безопасности для р,neutrals,ru,ru
7,10,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,увеличить численность от до,1.0,увеличить численность от до,neutrals,ru,ru
8,11,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,узконаправленная деятельность,1.0,узконаправленная деятельность,neutrals,ru,ru
9,12,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,умение выслушать,1.0,умение выслушать,positives,ru,ru
10,14,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,участие лидеров в совещ. рук.,1.0,участие лидеров в совещаниях руководителей,neutrals,ru,ru
11,16,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,эта поддержка уже есть,1.0,эта поддержка уже есть,positives,ru,ru
12,17,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,методическая,1.0,методическая,neutrals,ru,ru
13,18,19750.0,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,методология,1.0,методическая,neutrals,ru,ru
14,20,20139.0,Какие цели вы поставили себе на Школу тренеров?,прокачать тренерские знания,1.0,улучшить тренерские знания,positives,ru,ru
15,21,20139.0,Какие цели вы поставили себе на Школу тренеров?,прокачать тренерские компетенц,1.0,улучшить тренерские знания,positives,ru,ru
16,22,20139.0,Какие цели вы поставили себе на Школу тренеров?,прокачать тренерские навыки,1.0,улучшить тренерские знания,positives,ru,ru
17,23,20139.0,Какие цели вы поставили себе на Школу тренеров?,совершенствоваться,1.0,совершенствоваться,positives,ru,ru
18,24,20139.0,Какие цели вы поставили себе на Школу тренеров?,повышение производительности,1.0,повышение производительности,positives,ru,ru
19,25,20139.0,Какие цели вы поставили себе на Школу тренеров?,получить ответы на вопросы,1.0,решение вопросов,neutrals,ru,ru
20,26,20139.0,Какие цели вы поставили себе на Школу тренеров?,узнать ответы на интерес. вопр,1.0,решение вопросов,neutrals,ru,ru
21,27,20139.0,Какие цели вы поставили себе на Школу тренеров?,решение вопросов,1.0,решение вопросов,neutrals,ru,ru
22,28,20139.0,Какие цели вы поставили себе на Школу тренеров?,понять дальнейшие действия,1.0,понять дальнейшие действия,neutrals,ru,ru
23,29,20139.0,Какие цели вы поставили себе на Школу тренеров?,понять управление персоналом,1.0,управление проектами,neutrals,ru,ru
24,30,20139.0,Какие цели вы поставили себе на Школу тренеров?,посетить мастер-классы по инте,1.0,прохождение мастер классов,neutrals,ru,ru
25,31,20139.0,Какие цели вы поставили себе на Школу тренеров?,прохождение мастер-классов,1.0,прохождение мастер классов,neutrals,ru,ru
26,32,20139.0,Какие цели вы поставили себе на Школу тренеров?,применять,1.0,применять,neutrals,ru,ru
