,index,in_id,query,answers_text,answers_count,langdetect,langid
0,0,10106.0,Что вы сможете использовать в своей работе?,"формулировать проблему, 5 поче",1.0,ru,ru
1,1,10106.0,Что вы сможете использовать в своей работе?,поиск потерь,1.0,ru,ru
2,2,10106.0,Что вы сможете использовать в своей работе?,правило 5 «почему» :),1.0,ru,ru
3,3,10106.0,Что вы сможете использовать в своей работе?,умение работать в команде,1.0,ru,ru
4,4,10106.0,Что вы сможете использовать в своей работе?,картирование и анализ,1.0,ru,ru
5,5,10106.0,Что вы сможете использовать в своей работе?,четкое формулирование проблемы,1.0,ru,ru
6,6,10106.0,Что вы сможете использовать в своей работе?,многон,1.0,ru,ru
7,7,10106.0,Что вы сможете использовать в своей работе?,методы выявления проблем,1.0,ru,ru
8,8,10106.0,Что вы сможете использовать в своей работе?,методы решения проблем,1.0,ru,ru
9,9,10106.0,Что вы сможете использовать в своей работе?,картирование,1.0,ru,ru
10,10,10106.0,Что вы сможете использовать в своей работе?,постановку проблемы и поиск р,1.0,ru,ru
11,11,10106.0,Что вы сможете использовать в своей работе?,поиск решения,1.0,ru,ru
12,12,10106.0,Что вы сможете использовать в своей работе?,способ «5 почему»,1.0,ru,ru
13,13,10106.0,Что вы сможете использовать в своей работе?,инструмент картирования,1.0,ru,ru
14,14,10106.0,Что вы сможете использовать в своей работе?,все,1.0,ru,ru
15,15,10106.0,Что вы сможете использовать в своей работе?,картирование,1.0,ru,ru
16,16,10106.0,Что вы сможете использовать в своей работе?,5с,1.0,ru,ru
17,17,10106.0,Что вы сможете использовать в своей работе?,картирование,1.0,ru,ru
18,18,10106.0,Что вы сможете использовать в своей работе?,находить проблему,1.0,ru,ru
19,19,10106.0,Что вы сможете использовать в своей работе?,да,1.0,ru,ru
20,20,10119.0,"Что для вас ""культура доверия"" в организации?",не боишься ошибиться,1.0,ru,ru
21,21,10119.0,"Что для вас ""культура доверия"" в организации?","говорят прямо, как есть",1.0,ru,ru
22,22,10119.0,"Что для вас ""культура доверия"" в организации?",можно показать слабость,1.0,ru,ru
23,23,10119.0,"Что для вас ""культура доверия"" в организации?",критика звучит,1.0,ru,ru
24,24,10119.0,"Что для вас ""культура доверия"" в организации?",люди не боятся спорить,1.0,ru,ru
25,25,10119.0,"Что для вас ""культура доверия"" в организации?",можно поговорить с любым,1.0,ru,ru
26,26,10119.0,"Что для вас ""культура доверия"" в организации?",не сомневаюсь в намерениях,1.0,ru,ru
27,27,10119.0,"Что для вас ""культура доверия"" в организации?",презумпция невиновности,1.0,ru,ru
28,28,10119.0,"Что для вас ""культура доверия"" в организации?",единая команда,1.0,ru,ru
29,29,10119.0,"Что для вас ""культура доверия"" в организации?",уважение,1.0,ru,ru
30,30,10119.0,"Что для вас ""культура доверия"" в организации?",можно не опасаться разгласки,1.0,ru,ru
31,31,10119.0,"Что для вас ""культура доверия"" в организации?",прозрачность в коммуникации,1.0,ru,ru
32,32,10119.0,"Что для вас ""культура доверия"" в организации?",возможность комфортно работать,1.0,ru,ru
33,33,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в коллегах,1.0,ru,ru
34,34,10119.0,"Что для вас ""культура доверия"" в организации?",возможность признать ошибку,1.0,ru,ru
35,35,10119.0,"Что для вас ""культура доверия"" в организации?",открытый обмен опытом,1.0,ru,ru
36,36,10119.0,"Что для вас ""культура доверия"" в организации?",открытая вертикаль общения,1.0,ru,ru
37,37,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто и доверите,1.0,ru,ru
38,38,10119.0,"Что для вас ""культура доверия"" в организации?",возможность сказать об ошибке,1.0,ru,ru
39,39,10119.0,"Что для вас ""культура доверия"" в организации?",предупреждение о кирпиче,1.0,ru,ru
40,40,10119.0,"Что для вас ""культура доверия"" в организации?",честная и полная инфо сверху,1.0,ru,ru
41,41,10119.0,"Что для вас ""культура доверия"" в организации?",благоприятная среда,1.0,ru,ru
42,42,10119.0,"Что для вас ""культура доверия"" в организации?",объединяющая взаимосвязь,1.0,ru,ru
43,43,10119.0,"Что для вас ""культура доверия"" в организации?",искренняя помощь,1.0,ru,ru
44,44,10119.0,"Что для вас ""культура доверия"" в организации?",открытость общении,1.0,ru,ru
45,45,10119.0,"Что для вас ""культура доверия"" в организации?",информирование своевременное,1.0,ru,ru
